"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Santander, Anthony","623993","2024","217",18.9,7.8,".325",".304",35.3,7.2,34.6,"99.102570395","93.592095461",19.8,53.2
"Contreras, William","661388","2024","264",20.1,10.2,".389",".366",31.9,9.3,56,"104.96067967","97.613940552",30.1,47.3
"Diaz, Yainer","673237","2024","205",15.1,3.9,".279",".305",28.5,6.7,49.7,"101.245181687","95.147497091",21.4,58.1
"Rooker Jr., Brent","667670","2024","195",33.8,10.3,".398",".393",45.8,15.9,49.5,"103.921147778","96.515811776",36.6,49.5
"India, Jonathan","663697","2024","212",19.8,14.6,".311",".343",38,3.6,32.8,"97.880804559","92.940402279",16.5,34.7
"Abrams, CJ","682928","2024","235",20.9,5.1,".322",".344",39.8,6.4,40.9,"99.869934941","94.195722012",24.5,55.2
"Marte, Starling","516782","2024","219",22.4,5.9,".317",".342",37.4,7.7,46.5,"101.907795395","95.378306556",28.3,50.7
"Vierling, Matt","663837","2024","182",22,4.4,".358",".324",42.1,8.3,45.8,"101.962206769","95.505116692",18.6,43.1
"Garcia, Maikel","672580","2024","265",16.6,6.4,".313",".324",36.8,5.9,44.1,"100.4237328","94.6500452",18.1,44.3
"Perkins, Blake","663368","2024","188",26.6,9,".306",".297",33.1,6.8,41.5,"98.526310357","93.775723571",29.5,40.9
"Estrada, Thairo","642731","2024","230",18.7,3.5,".302",".282",27.1,6.2,36.2,"98.121658523","93.07266233",19.6,50.2
"Henderson, Gunnar","683002","2024","253",23.7,11.5,".395",".388",31.4,13.2,56.6,"103.895786625","97.079912642",26.6,44.4
"Joe, Connor","656582","2024","207",18.4,9.2,".353",".305",35.1,6.8,37.2,"99.269072838","93.644241081",22.6,43.3
"Doyle, Brenton","686668","2024","225",26.7,10.2,".334",".320",36.9,8.5,40.4,"101.069984853","94.785918897",30.3,49.8
"Schanuel, Nolan","694384","2024","206",17,7.3,".281",".292",30.3,2.6,25.7,"94.999593514","91.499796757",14.8,41.6
"Garver, Mitch","641598","2024","188",31.9,11.7,".262",".284",36.9,7.8,37.9,"99.663623333","93.999018627",32.5,39.7
"Albies, Ozzie","645277","2024","213",15.5,7.5,".325",".308",36.3,5,30.6,"96.55713075","92.387079748",21.7,55.2
"Hernández, Teoscar","606192","2024","250",30,8.4,".351",".340",33.1,13.9,50.3,"102.691251316","95.920816093",33.8,51.9
"Neto, Zach","687263","2024","206",25.2,6.3,".312",".305",32.1,9.3,34.3,"99.818034493","94.02058413",27.7,52.4
"Donovan, Brendan","680977","2024","233",13.7,7.7,".316",".334",34.3,6.3,39.4,"98.640498851","93.460601322",14.9,40
"Frelick, Sal","686217","2024","202",20.8,10.4,".315",".280",28.5,0.7,22.6,"96.144049403","92.087774925",15.8,39.1
"Tatis Jr., Fernando","665487","2024","268",20.5,9.3,".342",".388",31.5,13.6,52.2,"102.98549663","96.090585301",26.5,50.2
"Adames, Willy","642715","2024","256",21.1,10.2,".346",".357",37.1,10.9,40.6,"99.433383977","94.118105429",30,47
"Heim, Jonah","641680","2024","197",17.3,5.6,".290",".292",27.8,6.6,39.7,"98.880226053","93.779008411",18.7,53.2
"Ohtani, Shohei","660271","2024","257",19.8,10.1,".427",".454",38.8,19.1,59,"106.368099101","98.412813955",26.4,47.2
"Smith, Josh","669701","2024","203",18.7,8.4,".355",".314",36.7,2.9,32.4,"97.370196522","92.720252701",20.3,47.7
